pr_url,slop,notes,heuristic_codes
https://github.com/oven-sh/bun/pull/24825,0,,
https://github.com/ripienaar/free-for-dev/pull/4457,1,,"2,4"
https://github.com/typescript-eslint/typescript-eslint/pull/12104,0,,
https://github.com/louislam/uptime-kuma/pull/7202,0,,
https://github.com/flathub/flathub/pull/8206,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/json-schema-org/json-schema-spec/pull/1704,1,,"1,2"
https://github.com/flathub/flathub/pull/8901,0,,
https://github.com/louislam/uptime-kuma/pull/6416,0,,
https://github.com/oven-sh/bun/pull/28973,0,,
https://github.com/flathub/flathub/pull/8557,0,,
https://github.com/tauri-apps/tauri/pull/15257,0,,
https://github.com/flathub/flathub/pull/8294,1,,"1,2"
https://github.com/flathub/flathub/pull/8911,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8974,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/7487,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/oven-sh/bun/pull/31458,0,,
https://github.com/louislam/uptime-kuma/pull/6919,1,,"1,5"
https://github.com/flathub/flathub/pull/7810,0,,
https://github.com/OrcaSlicer/OrcaSlicer/pull/13619,1,,"1,7"
https://github.com/flathub/flathub/pull/8083,0,,
https://github.com/pandas-dev/pandas/pull/64624,1,,"1,2,4"
https://github.com/flathub/flathub/pull/8297,1,"Looks more like a bad contributor using AI incorrectly, but I labeled it as slop here.","1,2"
https://github.com/microg/GmsCore/pull/3510,0,,
https://github.com/freqtrade/freqtrade/pull/13221,0,,
https://github.com/apache/airflow/pull/67407,0,,
https://github.com/sorrycc/awesome-javascript/pull/981,0,,
https://github.com/photoprism/photoprism/pull/5595,0,,
https://github.com/flathub/flathub/pull/8506,0,,
https://github.com/flathub/flathub/pull/8708,0,"Looks more like a bad contributor using AI incorrectly, but could've been labeled as slop",
https://github.com/microg/GmsCore/pull/2941,1,,"4,5,6,7"
https://github.com/flathub/flathub/pull/8438,0,"Looks more like a bad contributor using AI incorrectly, but could've been labeled as slop",
https://github.com/flathub/flathub/pull/8151,0,,
https://github.com/flathub/flathub/pull/8244,1,,"1,2"
https://github.com/photoprism/photoprism/pull/5242,1,,"1,2,4"
https://github.com/flathub/flathub/pull/9006,1,,2.6
https://github.com/flathub/flathub/pull/8154,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8204,1,,"1,2"
https://github.com/pypa/pip/pull/13938,0,,
https://github.com/freqtrade/freqtrade/pull/12827,0,,
https://github.com/flathub/flathub/pull/8483,0,,
https://github.com/apache/airflow/pull/67759,1,,"2,4"
https://github.com/flathub/flathub/pull/7606,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/OWASP/Nettacker/pull/1481,1,,"1,2,4,5"
https://github.com/zeux/meshoptimizer/pull/1049,1,,"3,4"
https://github.com/jMonkeyEngine/jmonkeyengine/pull/2846,0,,
https://github.com/flathub/flathub/pull/8630,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/n8n-io/n8n-docs/pull/4296,1,,"3,4"
https://github.com/flathub/flathub/pull/8807,0,,
https://github.com/flathub/flathub/pull/8916,1,"I labeled this as slop, but it could just be a bad contributor","1,2"
https://github.com/marmelab/atomic-crm/pull/167,1,,"1,3,4,5,6"
https://github.com/louislam/uptime-kuma/pull/7177,0,,
https://github.com/louislam/uptime-kuma/pull/7362,1,,0
https://github.com/syncthing/syncthing/pull/10671,1,,"1,2,3,4,5,6"
https://github.com/freqtrade/freqtrade/pull/12960,1,,"1,2,4"
https://github.com/flathub/flathub/pull/8718,1,"I labeled this as slop, but it could just be a bad contributor","1,2"
https://github.com/tauri-apps/tauri/pull/14961,1,,"1,2"
https://github.com/louislam/uptime-kuma/pull/6550,1,,"1,3"
https://github.com/flathub/flathub/pull/8116,0,,
https://github.com/pandas-dev/pandas/pull/65758,0,Just a bad contributor,
https://github.com/jazzband/pip-tools/pull/2382,1,Too long!!,0
https://github.com/microg/GmsCore/pull/3426,1,,"1,5,6"
https://github.com/pandas-dev/pandas/pull/65760,1,,
https://github.com/louislam/uptime-kuma/pull/6808,0,,
https://github.com/n8n-io/n8n-docs/pull/4538,1,,"1,3"
https://github.com/flathub/flathub/pull/7514,0,,
https://github.com/flathub/flathub/pull/7500,0,,
https://github.com/flathub/flathub/pull/8002,0,,
https://github.com/flathub/flathub/pull/8704,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/microg/GmsCore/pull/3476,1,,"4,5,6,"
https://github.com/pypa/pip/pull/14035,0,,
https://github.com/flathub/flathub/pull/8236,0,,
https://github.com/flathub/flathub/pull/9016,0,,
https://github.com/ostris/ai-toolkit/pull/761,0,Just a bad contributor,
https://github.com/freqtrade/freqtrade/pull/12387,0,,
https://github.com/flathub/flathub/pull/8552,1,"I labeled this as slop, but it could just be a bad contributor","1,6"
https://github.com/OrcaSlicer/OrcaSlicer/pull/13656,0,Just a bad contributor probably,
https://github.com/flathub/flathub/pull/8751,0,,
https://github.com/flathub/flathub/pull/7835,0,,
https://github.com/pandas-dev/pandas/pull/65762,0,,
https://github.com/freqtrade/freqtrade/pull/12288,0,Just a bad contributor,
https://github.com/webadderallorg/Recordly/pull/521,1,Too long!!,0
https://github.com/aio-libs/aiohttp/pull/12255,0,,
https://github.com/webadderallorg/Recordly/pull/492,1,Too long!!,0
https://github.com/flathub/flathub/pull/8227,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8786,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/louislam/uptime-kuma/pull/7181,1,,"1,2,4"
https://github.com/apache/airflow/pull/46040,1,,"1,4,6"
https://github.com/syncthing/syncthing/pull/10652,0,,
https://github.com/flathub/flathub/pull/8908,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8378,0,,
https://github.com/OrcaSlicer/OrcaSlicer/pull/13592,0,,
https://github.com/photoprism/photoprism/pull/5491,1,,"1,2"
https://github.com/flathub/flathub/pull/8943,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/apache/airflow/pull/68276,0,,
https://github.com/freqtrade/freqtrade/pull/12901,1,,"1,2,4"
https://github.com/systemd/systemd/pull/42053,0,,
https://github.com/typescript-eslint/typescript-eslint/pull/12145,0,,
https://github.com/n8n-io/n8n-docs/pull/4437,0,Just a bad contributor,
https://github.com/typescript-eslint/typescript-eslint/pull/12051,0,,
https://github.com/tauri-apps/tauri/pull/15360,0,,
https://github.com/flathub/flathub/pull/8303,0,,
https://github.com/flathub/flathub/pull/8669,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/freqtrade/freqtrade/pull/13006,1,,"1,2"
https://github.com/freqtrade/freqtrade/pull/12609,1,This could simply be a spam contributor but I labeled it as slop.,
https://github.com/flathub/flathub/pull/8287,0,,
https://github.com/QuantumNous/new-api/pull/4098,1,"I labeled this as slop, but it could just be a bad contributor","1,2,4"
https://github.com/flathub/flathub/pull/9027,1,,"1,2,3"
https://github.com/OrcaSlicer/OrcaSlicer/pull/13485,0,,
https://github.com/falconry/falcon/pull/2561,1,,"1,2,4,5,6"
https://github.com/flathub/flathub/pull/8553,0,,
https://github.com/flathub/flathub/pull/8334,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/syncthing/syncthing/pull/10731,0,,
https://github.com/flathub/flathub/pull/8721,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8947,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/D4Vinci/Scrapling/pull/335,1,,"1,2,4"
https://github.com/louislam/uptime-kuma/pull/7174,1,"I'm labeling this as slop, but it might just be a bad contribution.","1,3"
https://github.com/microg/GmsCore/pull/3474,1,,"1,5,6"
https://github.com/OWASP/Nettacker/pull/1486,1,Too long!!,0
https://github.com/apache/airflow/pull/67369,0,,
https://github.com/flathub/flathub/pull/7771,0,,
https://github.com/flathub/flathub/pull/8078,0,,
https://github.com/freqtrade/freqtrade/pull/13108,0,This could simply be a spam contributor,
https://github.com/flathub/flathub/pull/8086,0,,
https://github.com/OWASP/mastg/pull/3786,1,"I labeled this as slop, but it could just be a bad contributor","1,2"
https://github.com/OrcaSlicer/OrcaSlicer/pull/13621,1,,"1,2,0"
https://github.com/flathub/flathub/pull/8643,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8614,0,,
https://github.com/OWASP/Nettacker/pull/1453,1,,"1,4,5,6"
https://github.com/louislam/uptime-kuma/pull/7486,0,,
https://github.com/flathub/flathub/pull/7603,1,,"1,2,3"
https://github.com/apache/airflow/pull/56710,0,,
https://github.com/flathub/flathub/pull/8586,0,,
https://github.com/flathub/flathub/pull/8409,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/freqtrade/freqtrade/pull/13017,0,,
https://github.com/freqtrade/freqtrade/pull/13173,0,Just a bad contributor,
https://github.com/freqtrade/freqtrade/pull/12858,0,Looks like a spam contributor. Could've been labeled as slop.,
https://github.com/flathub/flathub/pull/8029,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/flathub/flathub/pull/8637,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/pandas-dev/pandas/pull/64799,1,,"1,2,3"
https://github.com/flathub/flathub/pull/8486,0,,
https://github.com/webadderallorg/Recordly/pull/409,1,,"1,3"
https://github.com/freqtrade/freqtrade/pull/12582,1,,"1,2,4"
https://github.com/goharbor/harbor/pull/22433,0,,
https://github.com/flathub/flathub/pull/8367,0,"This looks like a bad contributor, but the flathub maintainers might've labeled it as slop",
https://github.com/freqtrade/freqtrade/pull/12361,0,Looks like a spam contributor. Could've been labeled as slop.,
https://github.com/flathub/flathub/pull/8843,0,Looks like a spam contributor. Could've been labeled as slop.,
